help do										有助于
academic achievement/advantage/outcome/performance/success			学习/学术成就/优势/结果/成绩/成就
latest/striking findings							最新的/惊人的研究成果
gender difference/discrimination/equality/gap/stereotype			性别不同/歧视/平等/差别/成见
depend on/rely on								依赖于
identify sth. as								确认...为
recovery period/plan								回复时期/计划
A account for/contribute to/translate to B					A是B的原因
B attribute to A								A导致B
industrial/data/infomation/digital/communications revolution			工业/数据/信息/数字/通信革命
largely/mostly									主要地；大部分
gender/generation/income/inequality gap						性别/世代/收入/不平等差距
gap between .. and ..								...和...之间的差距
gap in...									在...方面的差距
eventually									最终
higher education								高等教育
great/economic recession							大/经济衰退
encourage/promote/drive/discourage innovation					鼓励/促进/推动/阻碍创新
cultural/bio-/genetic diversity							文化/生物/基因多样性
African American								非洲裔美国人
identity issue/theft								身份问题/盗用身份信息
racial bias									种族偏见
boost efficiency/sales/economy/confidence  					促进提高效率/销售/经济/信心
incentive to do/incentive for sth						做...的动力/对...的动力		 
in the long term/run								长期来说
in the short term/run								短期来说
enormous impact/potential/scale							巨大的影响/潜力/规模
intellectual ability/aptitude							智力
extend to									扩展到...
be essential to/for								对...必不可少
point to									提到...
research subjects								研究对象（被研究的人）
superior to									比...更好；优于...
enhance image/reputation/status/confidence					提升形象/声誉/地位/信心
transform quality/society/everything/way					改变质量/社会/所有事物/方式
be prepared(for)								做好准备
eliminate+不好事物								消除
freshman,sophomore,junior,senior						(高中/大学)一年级/二年级/三年级/四年级
serve as									起...作用
turn out that/to be								最终...
a typical way/sample								典型的方式/样本
capacity for sth./to do sth.							...的能力
embrace sth.									欢迎/接受...

























	
